duration	time_plus	time_minus	flux	flux_plus	flux_minus
78.328	1.996	-2.482	8.71007148e-10	1.357325421e-10	-1.362008328e-10
82.124	2.081	-1.8	6.597008151e-10	1.285473408e-10	-1.289864904e-10
85.902	1.920	-1.697	7.256509647e-10	1.373825157e-10	-1.381384524e-10
90.563	3.073	-2.741	4.314071787e-10	8.6950416e-11	-8.74565073e-11
108.219	6.335	-6.202	2.787329649e-10	6.265768722e-11	-6.265768722e-11
118.773	8.317	-4.219	2.758679505e-10	6.181662387e-11	-6.181662387e-11
144.185	10.486	-17.094	1.562261901e-10	3.086429532e-11	-3.086429532e-11
164.506	7.716	-9.835	2.20994205e-10	4.515001554e-11	-4.515001554e-11
184.343	12.952	-12.121	1.409704101e-10	3.014188218e-11	-3.014188218e-11
244.010	1585.539	-46.714	3.02904792e-12	5.48352672e-13	-5.48352672e-13
