duration	time_plus	time_minus	flux	flux_plus	flux_minus
108.955	0.702	-0.607	1.492770348e-09	2.279999348e-10	-2.279996052e-10
110.444	0.841	-0.787	1.20062568e-09	1.83378934e-10	-1.833786456e-10
112.006	0.658	-0.721	1.367358784e-09	2.19387116e-10	-2.193867864e-10
113.527	0.977	-0.863	1.062450356e-09	1.622745636e-10	-1.622743164e-10
115.089	0.695	-0.586	1.552771144e-09	2.314749488e-10	-2.314745368e-10
116.534	0.655	-0.749	1.392352764e-09	2.126625756e-10	-2.12662246e-10
117.846	0.727	-0.657	1.437022216e-09	2.142199768e-10	-2.142196472e-10
119.294	0.581	-0.721	1.527826192e-09	2.277563604e-10	-2.277559896e-10
120.526	0.674	-0.651	1.449071156e-09	2.26815888e-10	-2.268155584e-10
122.075	0.892	-0.875	1.126290992e-09	1.678986108e-10	-1.678983224e-10
123.785	0.699	-0.818	1.265599316e-09	1.980979224e-10	-1.98097634e-10
125.586	1.190	-1.102	8.68344796e-10	1.29446074e-10	-1.29445868e-10
127.620	1.026	-0.844	1.06415274e-09	1.586355736e-10	-1.586352852e-10
129.454	0.792	-0.808	1.222889748e-09	1.867794584e-10	-1.867791288e-10
131.067	1.200	-0.822	9.85415832e-10	1.468981056e-10	-1.468978584e-10
132.908	0.690	-0.641	1.444546572e-09	2.261077012e-10	-2.261073716e-10
134.231	0.668	-0.634	1.529268604e-09	2.279713832e-10	-2.279710124e-10
136.155	1.054	-1.256	8.6244372e-10	1.285663304e-10	-1.285661244e-10
138.129	1.427	-0.92	8.33953508e-10	1.273748676e-10	-1.273746616e-10
140.815	1.080	-1.259	8.36532216e-10	1.277686984e-10	-1.277684924e-10
142.781	1.055	-0.886	1.026145328e-09	1.529697496e-10	-1.529694612e-10
144.858	0.901	-1.022	1.035642752e-09	1.543855464e-10	-1.543852992e-10
147.536	1.130	-1.777	6.6133004e-10	1.035147116e-10	-1.035145468e-10
150.318	1.364	-1.652	6.49007532e-10	9.91269528e-11	-9.9126788e-11
153.443	1.525	-1.761	5.95597912e-10	9.09693116e-11	-9.09691468e-11
156.609	1.445	-1.64	6.34412844e-10	9.68977444e-11	-9.68975796e-11
159.436	1.370	-1.382	7.11095932e-10	1.086100392e-10	-1.086098744e-10
162.081	1.206	-1.276	8.02453636e-10	1.196235408e-10	-1.196233348e-10
164.396	0.957	-1.109	9.64160752e-10	1.437295372e-10	-1.437293312e-10
166.567	0.915	-1.214	9.35169548e-10	1.394077396e-10	-1.394075336e-10
168.974	1.537	-1.492	6.46254548e-10	9.87063832e-11	-9.87062184e-11
172.201	1.654	-1.691	6.01712404e-10	8.969858e-11	-8.96984564e-11
175.447	1.650	-1.592	6.18804636e-10	9.45137888e-11	-9.45136652e-11
178.513	1.778	-1.416	6.39224592e-10	9.52906148e-11	-9.529045e-11
182.331	1.402	-2.04	5.76901764e-10	8.81136984e-11	-8.81135748e-11
185.395	1.870	-1.662	5.44143232e-10	8.51720596e-11	-8.5171936e-11
188.676	1.511	-1.412	6.57416864e-10	1.029021912e-10	-1.029020264e-10
192.203	1.685	-2.016	5.38031624e-10	8.02055232e-11	-8.02053996e-11
196.217	1.889	-2.329	4.72164772e-10	7.03866156e-11	-7.0386492e-11
200.468	2.382	-2.361	4.19920288e-10	6.2598456e-11	-6.25983324e-11
204.711	1.994	-1.862	3.632788576e-10	6.87017828e-11	-6.87017004e-11
208.413	1.674	-1.709	3.924028492e-10	7.16429272e-11	-7.1642886e-11
211.705	2.038	-1.618	5.44495904e-10	8.11691912e-11	-8.11690676e-11
215.483	1.875	-1.74	3.846822164e-10	7.1587678e-11	-7.15876368e-11
219.554	2.279	-2.196	4.44919212e-10	6.63250372e-11	-6.63249548e-11
241.397	16.670	-13.418	9.8319268e-11	2.148511608e-11	-2.148511608e-11
274.881	25.810	-16.814	6.62597764e-11	1.487081864e-11	-1.487081864e-11
366.838	91.814	-66.146	6.53084684e-12	1.474317692e-12	-1.474317692e-12
1146.159	1313.318	-687.507	5.89101084e-13	1.208515068e-13	-1.208515068e-13
9689.536	10113.932	-3920.508	1.091912476e-13	2.953223828e-14	-2.953223828e-14
