duration	time_plus	time_minus	flux	flux_plus	flux_minus
152.452	30.905	-64.373	9.41158112e-11	2.037572016e-11	-2.037572016e-11
203.180	25.309	-19.823	1.822146096e-10	4.115796e-11	-4.115796e-11
254.586	11.513	-26.096	2.41166552e-10	5.18908832e-11	-5.18908832e-11
271.535	7.101	-5.435	1.015785552e-09	1.842318496e-10	-1.842318496e-10
285.830	5.342	-7.194	1.21058992e-09	2.002888944e-10	-2.002888944e-10
304.268	11.975	-13.096	9.78138912e-10	1.280698928e-10	-1.280698928e-10
320.778	1.216	-1.956	6.74769216e-10	1.050722896e-10	-1.05072336e-10
323.317	1.454	-1.324	7.96065776e-10	1.186706448e-10	-1.186706912e-10
326.274	1.829	-1.503	6.31791216e-10	1.00579424e-10	-1.005794704e-10
329.698	1.405	-1.595	7.25312736e-10	1.104958464e-10	-1.104958928e-10
332.548	1.364	-1.446	7.74463328e-10	1.179835536e-10	-1.179835536e-10
335.407	1.464	-1.495	7.2345024e-10	1.126527504e-10	-1.126527504e-10
338.542	1.903	-1.672	5.39809712e-10	9.63188832e-11	-9.63188832e-11
341.652	1.618	-1.208	7.700892e-10	1.173172496e-10	-1.173172496e-10
345.156	1.592	-1.886	6.29536176e-10	9.68647328e-11	-9.68647328e-11
348.713	1.795	-1.964	5.41314e-10	9.01321392e-11	-9.01321392e-11
352.353	1.750	-1.846	5.75734448e-10	9.3724984e-11	-9.37250304e-11
355.865	2.045	-1.762	5.71433168e-10	8.70534992e-11	-8.70534992e-11
359.514	2.008	-1.604	6.121436e-10	9.12531168e-11	-9.12531168e-11
363.570	2.216	-2.048	4.85431696e-10	7.90244432e-11	-7.90244432e-11
367.236	1.871	-1.449	4.4816948e-10	8.30755344e-11	-8.30755344e-11
370.565	1.721	-1.459	4.635939072e-10	8.46403744e-11	-8.46403744e-11
374.298	1.522	-2.012	4.071863552e-10	7.68076368e-11	-7.68076368e-11
377.833	2.704	-2.014	4.313010384e-10	7.18143008e-11	-7.18143008e-11
382.272	2.202	-1.734	3.745311488e-10	6.83797728e-11	-6.83798192e-11
385.936	1.892	-1.463	4.078121984e-10	8.22289664e-11	-8.22289664e-11
389.698	1.699	-1.87	3.735626416e-10	7.79365488e-11	-7.79365952e-11
393.376	2.277	-1.979	3.298162576e-10	6.4306224e-11	-6.43062704e-11
398.058	2.157	-2.405	2.305672144e-10	6.47595984e-11	-6.47595984e-11
402.579	1.744	-2.364	3.417332624e-10	6.66297968e-11	-6.66297968e-11
406.000	1.502	-1.677	4.415907952e-10	8.6099608e-11	-8.6099608e-11
409.651	2.088	-2.149	3.23118928e-10	6.5151864e-11	-6.51519104e-11
415.632	3.301	-3.894	1.948645952e-10	3.929139936e-11	-3.929140864e-11
420.977	2.941	-2.044	2.952126688e-10	5.5686032e-11	-5.5686032e-11
438.340	8.047	-6.997	1.160810144e-10	2.605815648e-11	-2.605815648e-11
453.002	5.922	-6.615	1.515414256e-10	3.31305976e-11	-3.31305976e-11
469.044	9.938	-10.12	8.97400128e-11	2.018458e-11	-2.018458e-11
492.993	8.555	-14.011	8.0157856e-11	1.7994036e-11	-1.7994036e-11
516.747	19.904	-15.199	5.01329728e-11	1.127605376e-11	-1.127605376e-11
559.021	27.777	-22.37	3.596944704e-11	8.10625168e-12	-8.10625168e-12
605.237	24.185	-18.44	4.231643808e-11	9.53664304e-12	-9.53664304e-12
676.924	37.748	-47.502	2.085899472e-11	4.72876784e-12	-4.72876784e-12
752.346	62.618	-37.675	1.738030784e-11	3.987421584e-12	-3.987421584e-12
872.450	37.792	-57.486	1.435439216e-11	3.210245712e-12	-3.210245712e-12
977.944	42.620	-67.701	1.06222592e-11	2.24975504e-12	-2.24975504e-12
4419.738	165.091	-140.802	2.73925648e-12	7.183184e-13	-7.183184e-13
4829.332	136.610	-244.504	2.189685136e-12	5.74631056e-13	-5.74631056e-13
5109.873	121.845	-143.932	3.153453504e-12	8.25705632e-13	-8.25705632e-13
5419.140	163.603	-187.422	2.38740528e-12	6.25122608e-13	-6.25122608e-13
6194.639	566.523	-611.896	1.355061424e-12	2.591865952e-13	-2.591865952e-13
10528.303	426.523	-511.216	8.42993344e-13	2.283834912e-13	-2.283834912e-13
11492.893	1008.929	-538.067	6.94145856e-13	1.63558608e-13	-1.63558608e-13
25715.606	7777.063	-7637.272	5.32909104e-13	1.375164688e-13	-1.375164688e-13
59431.285	32741.655	-8531.597	2.515108288e-13	6.89518848e-14	-6.89518848e-14
476356.580	154676.001	-87145.05	8.827832e-14	2.417301264e-14	-2.417301264e-14
