duration	time_plus	time_minus	flux	flux_plus	flux_minus
124.571	20.748	-29.398	2.884328028e-11	6.46898724e-12	-6.46898724e-12
174.487	28.501	-29.168	2.479708728e-11	5.43188916e-12	-5.43188916e-12
238.249	39.958	-35.262	1.79843166e-11	4.02948432e-12	-4.02948432e-12
315.418	32.993	-37.212	1.748222676e-11	3.932955e-12	-3.932955e-12
370.582	30.484	-22.17	1.500402204e-11	3.28697352e-12	-3.28697352e-12
428.672	32.569	-27.606	1.24916742e-11	2.810496852e-12	-2.810496852e-12
513.014	48.520	-51.773	7.48759788e-12	1.684631844e-12	-1.684631844e-12
726.551	356.279	-165.018	2.104257852e-12	4.22210232e-13	-4.22210232e-13
5835.807	10335.651	-1559.762	1.815963624e-13	3.66815304e-14	-3.66815304e-14
