duration	time_plus	time_minus	flux	flux_plus	flux_minus
79.360	3.643	-3.194	4.17781931e-10	9.26981725e-11	-8.7852256e-11
87.230	3.094	-4.227	3.055309925e-10	7.3397855e-11	-7.0577623e-11
93.769	4.131	-3.445	4.367634505e-10	9.05992855e-11	-8.7795652e-11
100.933	2.102	-3.034	3.66741855e-10	8.7704516e-11	-8.8760145e-11
105.698	2.115	-2.662	4.132307825e-10	9.4855399e-11	-9.52949255e-11
110.875	3.519	-3.062	4.85241795e-10	9.04149665e-11	-9.2181839e-11
116.424	1.967	-2.031	7.98973025e-10	1.36801366e-10	-1.4064848e-10
120.249	2.192	-1.857	6.92119625e-10	1.18576391e-10	-1.20763299e-10
124.738	2.061	-2.298	4.43839618e-10	8.71513365e-11	-8.8647382e-11
129.851	3.311	-3.051	4.324641275e-10	7.6876153e-11	-7.8905175e-11
135.048	2.698	-1.887	4.05277609e-10	8.16048565e-11	-8.2939723e-11
140.102	2.589	-2.355	5.68319735e-10	9.48020435e-11	-9.6811263e-11
145.288	1.782	-2.597	4.25159408e-10	8.5961807e-11	-8.74653285e-11
150.149	2.476	-3.08	3.433227955e-10	6.8711471e-11	-7.01622155e-11
155.036	2.864	-2.411	4.35765271e-10	7.91456085e-11	-8.0705378e-11
160.957	2.570	-3.057	3.36449904e-10	6.67096385e-11	-6.8021009e-11
166.785	3.306	-3.257	2.833917085e-10	5.5450738e-11	-5.63541325e-11
174.095	3.703	-4.004	2.471278575e-10	5.05231195e-11	-5.15251705e-11
201.375	14.223	-15.865	1.293625235e-10	2.83571088e-11	-2.83571088e-11
230.104	18.089	-14.506	1.270889295e-10	2.71656213e-11	-2.71656213e-11
276.583	16.741	-28.39	9.7253682e-11	1.997796795e-11	-1.997796795e-11
333.142	35.402	-39.817	4.841244e-11	1.09184132e-11	-1.09184132e-11
549.869	1816.993	-181.325	6.12418345e-13	1.65422342e-13	-1.65422342e-13
