duration	time_plus	time_minus	flux	flux_plus	flux_minus
48.4917224774265	4.49628250504504	-4.89846447095676	1.41128180608464e-10	2.46281658239207e-11	-2.46350552590823e-11
70.459	10.568	-7.794	8.08454472e-11	2.07136968e-11	-2.071519008e-11
87.252	4.653	-6.225	9.64528218e-11	2.168752764e-11	-2.168941986e-11
95.501	4.173	-3.596	1.422611256e-10	2.917863996e-11	-2.918186076e-11
111.950	13.217	-12.276	8.59363242e-11	1.994729646e-11	-1.994913744e-11
133.791	14.061	-8.624	7.60619004e-11	1.429472292e-11	-1.429657488e-11
134.958	68.432	-63.176	9.0451959e-11	2.012936682e-11	-2.012936682e-11
152.511	4.361	-4.659	1.208741718e-10	2.555854494e-11	-2.556099348e-11
171.994	6.449	-15.122	6.90991896e-11	1.604324034e-11	-1.604434566e-11
186.595	9.262	-8.152	9.11360862e-11	2.258521218e-11	-2.258656272e-11
217.196	16.937	-21.339	6.34095e-11	1.301018736e-11	-1.301147934e-11
243.069	17.405	-8.936	8.30416668e-11	1.867763514e-11	-1.86791943e-11
276.342	61.525	-72.953	6.62024826e-11	1.540394082e-11	-1.540394082e-11
278.338	10.031	-17.864	7.7665566e-11	1.64223468e-11	-1.642389864e-11
299.531	6.648	-11.162	9.06168054e-11	2.172761196e-11	-2.172926994e-11
312.047	5.153	-5.868	9.42026172e-11	2.118812064e-11	-2.118986646e-11
338.840	10.205	-21.64	4.46662374e-11	1.369874682e-11	-1.369938366e-11
361.919	20.920	-12.874	8.9902593e-11	1.739084136e-11	-1.739283972e-11
388.144	4.705	-5.305	1.115255436e-10	2.28831984e-11	-2.288536878e-11
402.171	10.399	-9.323	5.46135318e-11	1.968358248e-11	-1.968426324e-11
415.986	69.216	-78.119	6.78710034e-11	1.566567108e-11	-1.566567108e-11
421.406	8.054	-8.836	1.144720632e-10	2.27996955e-11	-2.280223188e-11
441.145	20.284	-11.684	4.14643962e-11	1.375412994e-11	-1.375464966e-11
474.713	15.538	-13.285	5.52213114e-11	1.631007996e-11	-1.631085954e-11
496.206	5.293	-5.955	1.039162206e-10	2.010206322e-11	-2.010432144e-11
518.799	21.120	-17.3	6.34187964e-11	1.301259564e-11	-1.301381808e-11
548.317	8.245	-8.398	6.29052618e-11	1.414959294e-11	-1.415062872e-11
564.523	35.785	-7.961	7.44728016e-11	1.574883726e-11	-1.575008898e-11
576.967	59.248	-91.765	3.587653878e-11	8.32720638e-12	-8.32720638e-12
612.129	38.487	-11.821	5.0694843e-11	1.256268282e-11	-1.256350266e-11
659.766	5.948	-9.15	6.36286242e-11	1.576760574e-11	-1.576865982e-11
681.040	13.758	-15.326	7.31044008e-11	1.499878614e-11	-1.500034896e-11
682.628	36.936	-46.413	4.86151212e-11	1.117317114e-11	-1.117317114e-11
751.762	32.992	-32.198	3.03021099e-11	5.91539814e-12	-5.91539814e-12
3995.091	25.415	-32.254	1.627140474e-11	3.566621688e-12	-3.566621688e-12
4060.917	49.852	-40.412	9.76396866e-12	2.193563904e-12	-2.193563904e-12
4142.315	31.137	-31.546	1.427112324e-11	3.202369338e-12	-3.202369338e-12
4201.628	26.984	-28.177	1.618679652e-11	3.640793052e-12	-3.640793052e-12
4275.249	46.134	-46.636	9.5569005e-12	2.149572534e-12	-2.149572534e-12
4351.823	24.721	-30.44	1.617881406e-11	3.630446232e-12	-3.630446232e-12
4414.238	30.004	-37.694	1.318949808e-11	2.96662947e-12	-2.96662947e-12
4490.445	31.523	-46.203	1.15272981e-11	2.595819132e-12	-2.595819132e-12
4549.784	22.330	-27.816	1.797464796e-11	4.04292384e-12	-4.04292384e-12
4612.045	40.303	-39.931	1.11458529e-11	2.501074542e-12	-2.501074542e-12
4688.275	36.786	-35.926	1.227625854e-11	2.757972504e-12	-2.757972504e-12
4759.484	40.796	-34.424	1.186282494e-11	2.668229304e-12	-2.668229304e-12
4864.036	31.522	-63.756	9.40158474e-12	2.107192662e-12	-2.107192662e-12
4929.134	31.615	-33.576	1.403116266e-11	3.148523784e-12	-3.148523784e-12
5006.183	47.336	-45.434	9.64806378e-12	2.162437068e-12	-2.162437068e-12
5090.812	47.955	-37.293	1.05389517e-11	2.359344336e-12	-2.359344336e-12
5165.703	20.704	-26.935	1.91102691e-11	4.27819596e-12	-4.27819596e-12
5277.766	56.573	-91.359	5.98753674e-12	1.353112614e-12	-1.353112614e-12
5405.707	41.461	-71.368	7.91380206e-12	1.782099384e-12	-1.782099384e-12
5489.865	37.537	-42.698	1.119007302e-11	2.513951154e-12	-2.513951154e-12
5559.092	28.486	-31.69	1.48532316e-11	3.332991444e-12	-3.332991444e-12
5642.266	63.156	-54.688	7.55092038e-12	1.698380544e-12	-1.698380544e-12
5746.982	41.181	-41.561	1.072294722e-11	2.409007242e-12	-2.409007242e-12
5824.968	45.936	-36.805	1.080037452e-11	2.426401758e-12	-2.426401758e-12
5940.273	48.475	-69.369	7.55890284e-12	1.700175774e-12	-1.700175774e-12
6045.163	71.459	-56.415	7.32524112e-12	1.603864704e-12	-1.603864704e-12
6188.543	23.357	-71.921	9.28062906e-12	2.092361244e-12	-2.092361244e-12
6259.491	42.672	-47.591	9.8311626e-12	2.211261102e-12	-2.211261102e-12
6360.007	44.957	-57.843	8.61611214e-12	1.94025201e-12	-1.94025201e-12
6468.461	84.417	-63.498	7.84154268e-12	1.543413948e-12	-1.543413948e-12
9850.325	51.078	-64.258	7.0732794e-12	1.585816146e-12	-1.585816146e-12
9990.117	111.871	-88.714	3.98498238e-12	9.05395794e-13	-9.05395794e-13
10203.865	88.676	-101.877	4.43545884e-12	9.80206926e-13	-9.80206926e-13
11757.498	113.644	-127.058	2.65693125e-12	6.92643288e-13	-6.92643288e-13
11949.782	106.902	-78.639	3.456124092e-12	8.95795614e-13	-8.95795614e-13
12190.779	129.168	-134.095	5.238924e-12	9.31550886e-13	-9.31550886e-13
15698.034	114.476	-193.923	2.048931684e-12	5.41040598e-13	-5.41040598e-13
16461.006	1628.833	-648.496	2.087073276e-12	3.570604134e-13	-3.570604134e-13
21507.461	205.847	-182.787	1.65310122e-12	4.30673298e-13	-4.30673298e-13
21967.135	267.690	-253.826	1.720125702e-12	3.80035368e-13	-3.80035368e-13
34798.981	4321.953	-7715.273	4.44882882e-13	1.184007072e-13	-1.184007072e-13
39801.126	673.747	-680.192	5.71623558e-13	1.382258292e-13	-1.382258292e-13
48063.517	3630.584	-3203.462	3.042161622e-13	6.86433e-14	-6.86433e-14
109812.243	177982.605	-29985.612	2.903583042e-14	1.17814485e-14	-9.52436676e-15
