duration	time_plus	time_minus	flux	flux_plus	flux_minus
86.350	1.708	-2.759	4.05430245e-10	7.62468498e-11	-7.63058862e-11
90.646	2.835	-2.587	3.120898464e-10	6.40322298e-11	-6.40527642e-11
95.325	1.455	-1.843	5.33245446e-10	1.031283882e-10	-1.031519358e-10
99.043	2.153	-2.263	3.97749933e-10	7.69186818e-11	-7.69329666e-11
104.031	2.420	-2.835	2.962324908e-10	6.66089622e-11	-6.66152676e-11
116.243	6.089	-6.447	3.171216672e-10	6.78579894e-11	-6.78579894e-11
132.664	7.220	-10.331	2.676597102e-10	5.270922126e-11	-5.270922126e-11
149.451	7.985	-9.567	2.209760352e-10	4.745832966e-11	-4.745832966e-11
166.292	11.202	-8.857	1.995309792e-10	4.274797824e-11	-4.274797824e-11
188.179	14.388	-10.685	1.50301764e-10	3.284035344e-11	-3.284035344e-11
222.865	22.326	-20.298	8.57109762e-11	1.937274444e-11	-1.937274444e-11
270.706	22.125	-25.514	7.70253156e-11	1.726956432e-11	-1.726956432e-11
345.260	35.327	-52.429	4.111320006e-11	9.30514662e-12	-9.30514662e-12
430.862	34.973	-50.276	2.842826418e-11	6.38235378e-12	-6.38235378e-12
513.518	40.073	-47.683	1.41560136e-11	3.18759174e-12	-3.18759174e-12
660.175	104.030	-106.584	5.94932346e-12	1.350624492e-12	-1.350624492e-12
897.069	165.505	-132.863	4.696726734e-12	1.020708108e-12	-1.020708108e-12
7295.214	10983.239	-2975.976	2.180148408e-13	7.1211123e-14	-5.95042272e-14
