duration	time_plus	time_minus	flux	flux_plus	flux_minus
83.0557889290525	4.45864904444676	-3.98588491647544	4.67730400076296e-10	5.22102009566271e-11	-5.22126733886875e-11
99.404	2.403	-2.093	3.207526179e-10	5.8566222e-11	-5.85714129e-11
104.292	2.970	-2.484	2.530495968e-10	4.89357726e-11	-4.89448245e-11
111.151	2.425	-3.889	2.322183864e-10	4.243242861e-11	-4.2455985e-11
117.826	4.038	-4.249	1.622318841e-10	3.331399071e-11	-3.334397352e-11
124.788	4.632	-2.924	1.908233613e-10	3.593412108e-11	-3.600390651e-11
150.038	20.572	-17.038	8.56161735e-11	1.882431837e-11	-1.882431837e-11
185.880	14.817	-15.271	1.058392764e-10	2.269513818e-11	-2.269513818e-11
213.991	11.779	-13.294	1.243574046e-10	2.713700847e-11	-2.713700847e-11
239.956	15.903	-14.185	1.061362731e-10	2.275882752e-11	-2.275882752e-11
268.627	14.812	-12.768	1.050666045e-10	2.368029378e-11	-2.368029378e-11
296.147	14.872	-12.708	1.072313814e-10	2.412985146e-11	-2.412985146e-11
321.755	9.323	-10.736	1.423531824e-10	3.198243048e-11	-3.198243048e-11
346.139	10.013	-15.061	1.222056693e-10	2.686920522e-11	-2.686920522e-11
375.815	25.468	-19.664	6.53642847e-11	1.470866826e-11	-1.470866826e-11
434.859	46.658	-33.576	3.60042969e-11	8.15364693e-12	-8.15364693e-12
505.256	33.929	-23.739	5.01816315e-11	1.131012168e-11	-1.131012168e-11
561.519	32.828	-22.333	5.28653268e-11	1.191498165e-11	-1.191498165e-11
651.356	58.327	-57.009	2.629413501e-11	5.82531807e-12	-5.82531807e-12
746.378	41.031	-36.695	3.920838207e-11	8.62069494e-12	-8.62069494e-12
856.853	73.468	-69.443	2.700905493e-11	5.27177508e-12	-5.27177508e-12
4340.023	98.297	-104.796	5.26748508e-12	1.15870326e-12	-1.15870326e-12
4524.313	124.621	-85.994	4.026397089e-12	9.95176182e-13	-9.95176182e-13
4760.461	66.493	-111.527	4.202912142e-12	1.104929826e-12	-1.104929826e-12
4911.060	96.421	-84.106	5.59917501e-12	1.258337652e-12	-1.258337652e-12
5162.979	125.321	-155.499	2.674207107e-12	7.00649235e-13	-7.00649235e-13
5425.756	125.813	-137.455	2.827635096e-12	7.48480161e-13	-7.48480161e-13
5686.038	166.409	-134.469	2.469095343e-12	6.54322812e-13	-6.54322812e-13
6019.162	181.804	-166.714	2.112186219e-12	5.6557215e-13	-5.6557215e-13
6398.363	304.047	-197.398	1.672767525e-12	4.180627737e-13	-4.180627737e-13
10575.533	1900.942	-697.468	1.410814977e-12	2.726418981e-13	-2.726418981e-13
16400.730	1847.874	-598.446	9.837399e-13	2.53608927e-13	-2.53608927e-13
22589.888	1430.259	-1164.796	5.30843742e-13	1.058204862e-13	-1.058204862e-13
28318.367	4660.274	-1040.292	4.88456826e-13	1.318031715e-13	-1.318031715e-13
34022.081	1541.586	-1043.441	5.38923099e-13	1.05583335e-13	-1.05583335e-13
42065.764	5043.533	-3103.731	2.446901886e-13	6.35192844e-14	-6.35192844e-14
57008.464	16885.770	-5860.42	3.741651342e-13	7.93040391e-14	-7.93040391e-14
131851.702	63422.565	-29612.983	2.424991569e-13	6.64828593e-14	-6.64828593e-14
344748.702	133484.883	-144346.796	3.528406167e-14	1.104605931e-14	-1.104605931e-14
