duration	time_plus	time_minus	flux	flux_plus	flux_minus
126.410	18.610	-29.029	2.914019298e-11	6.3723471e-12	-6.3723471e-12
164.190	15.933	-19.17	3.76619307e-11	8.43079575e-12	-8.43079575e-12
200.232	32.545	-20.109	2.676947241e-11	5.99246793e-12	-5.99246793e-12
255.138	22.770	-22.361	3.052183011e-11	6.83245245e-12	-6.83245245e-12
296.201	21.824	-18.293	3.64997727e-11	8.16159954e-12	-8.16159954e-12
346.026	29.668	-28.001	2.549030073e-11	5.57419242e-12	-5.57419242e-12
417.241	48.717	-41.547	1.53977106e-11	3.45834219e-12	-3.45834219e-12
498.744	27.390	-32.786	1.836968607e-11	4.12148838e-12	-4.12148838e-12
556.141	32.676	-30.007	1.201891443e-11	2.699746662e-12	-2.699746662e-12
608.850	30.113	-20.034	1.957599561e-11	4.38715299e-12	-4.38715299e-12
709.364	37.414	-70.401	1.348551924e-11	2.955242226e-12	-2.955242226e-12
795.913	28.592	-49.135	1.768005615e-11	3.97538151e-12	-3.97538151e-12
863.356	31.354	-38.851	1.212751113e-11	2.717952714e-12	-2.717952714e-12
948.531	48.979	-53.821	7.35652227e-12	1.654340415e-12	-1.654340415e-12
1043.961	48.827	-46.451	7.93133922e-12	1.775513535e-12	-1.775513535e-12
1150.614	49.988	-57.827	6.94292286e-12	1.559552925e-12	-1.559552925e-12
1243.651	52.229	-43.049	7.87471263e-12	1.76483862e-12	-1.76483862e-12
1366.171	75.133	-70.291	5.18576874e-12	1.166179446e-12	-1.166179446e-12
1485.768	48.307	-44.463	8.11101918e-12	1.817798232e-12	-1.817798232e-12
1586.317	48.050	-52.242	7.52038851e-12	1.687345506e-12	-1.687345506e-12
1704.158	108.229	-69.79	4.21508886e-12	9.46813458e-13	-9.46813458e-13
1906.482	149.114	-94.095	3.097351521e-12	6.99723756e-13	-6.99723756e-13
2157.509	118.722	-101.913	4.57942899e-12	8.85772041e-13	-8.85772041e-13
5595.068	214.679	-131.331	1.823071434e-12	4.74282108e-13	-4.74282108e-13
6016.726	144.047	-206.978	1.794019446e-12	4.65909273e-13	-4.65909273e-13
6433.011	209.167	-272.238	1.306690692e-12	3.39151974e-13	-3.39151974e-13
6843.461	277.614	-201.284	1.312617894e-12	3.40888671e-13	-3.40888671e-13
7496.759	562.034	-375.684	1.158847779e-12	2.297222088e-13	-2.297222088e-13
17951.901	7452.980	-4833.238	4.28282037e-13	9.32507208e-14	-9.32507208e-14
489137.194	327890.232	-423326.218	1.23595536e-14	4.55931195e-15	-3.78433176e-15
