duration	time_plus	time_minus	flux	flux_plus	flux_minus
79.3148024820927	1.83793950333131	-1.99068650729259	3.46563027132488e-10	6.32993837045606e-11	-6.330723117579e-11
83.5462034416141	2.13706254244426	-2.39346145619014	3.35809473795655e-10	5.8688173138027e-11	-5.87375847827252e-11
97.443	1.827	-2.014	3.9238563e-10	7.4427108e-11	-7.4361546e-11
103.228	4.441	-3.959	1.68354228e-10	3.31306458e-11	-3.31182432e-11
110.676	4.193	-3.007	1.8698127e-10	3.7854768e-11	-3.78352254e-11
144.439	23.398	-21.734	8.3338374e-11	1.86917766e-11	-1.86917766e-11
204.160	43.910	-36.324	4.5152982e-11	1.01685402e-11	-1.01685402e-11
278.218	27.521	-30.147	2.48727444e-11	5.5855254e-12	-5.5855254e-12
339.530	28.892	-33.791	2.47883958e-11	5.5722492e-12	-5.5722492e-12
411.980	46.705	-43.558	4.01871498e-11	8.995224e-12	-8.995224e-12
491.263	40.134	-32.578	1.79838792e-11	4.05132336e-12	-4.05132336e-12
556.170	25.373	-24.773	2.3840292e-11	5.336541e-12	-5.336541e-12
612.299	36.941	-30.756	1.84796976e-11	4.05731004e-12	-4.05731004e-12
685.221	44.253	-35.981	2.56088784e-11	5.7626898e-12	-5.7626898e-12
787.169	87.729	-57.694	1.69593816e-11	2.73661374e-12	-2.73661374e-12
7095.493	4608.505	-2004.734	5.8121196e-13	1.11568254e-13	-1.11568254e-13
20712.414	3792.278	-4015.262	3.32333148e-13	6.7239186e-14	-6.7239186e-14
28887.042	1359.998	-813.831	4.6373376e-13	1.06153026e-13	-1.06153026e-13
34762.787	1240.936	-842.63	5.2509324e-13	1.19902692e-13	-1.19902692e-13
40384.528	1365.232	-758.455	3.60835272e-13	9.696057e-14	-9.696057e-14
58918.055	79807.247	-13618.358	2.48925432e-13	3.65878044e-14	-3.65878044e-14
