duration	time_plus	time_minus	flux	flux_plus	flux_minus
62.639337384457	4.78161761785094	-2.98869035706747	9.84227681153178e-11	2.54126494532174e-11	-2.54126494532174e-11
98.666	17.265	-15.33	5.61514795e-11	1.226547715e-11	-1.226547715e-11
129.147	11.857	-13.217	7.83520845e-11	1.67047215e-11	-1.67047215e-11
153.970	17.122	-12.966	6.06063745e-11	1.32916338e-11	-1.32916338e-11
186.939	14.241	-15.847	6.1946403e-11	1.3558349e-11	-1.3558349e-11
218.389	17.893	-17.21	4.90355735e-11	1.10339619e-11	-1.10339619e-11
252.307	19.078	-16.025	4.98123655e-11	1.122057265e-11	-1.122057265e-11
325.513	266.806	-54.129	6.89862585e-12	1.320768455e-12	-1.320768455e-12
