duration	time_plus	time_minus	flux	flux_plus	flux_minus
73.4184527071146	4.65401229542221	-4.6161296805605	2.16491044603149e-10	2.97373930493326e-11	-2.97375560257688e-11
91.360	2.576	-3.18	2.047558256e-10	3.73831696e-11	-3.73834272e-11
98.053	3.842	-4.118	1.39267576e-10	2.790072224e-11	-2.790084736e-11
114.506	6.740	-10.811	1.281599008e-10	2.884119776e-11	-2.884119776e-11
126.504	7.279	-5.258	1.867118656e-10	4.0992624e-11	-4.0992624e-11
139.991	8.836	-6.208	1.474637456e-10	3.307928816e-11	-3.307928816e-11
163.558	12.849	-14.731	8.77127632e-11	1.880937424e-11	-1.880937424e-11
190.943	10.537	-14.536	1.041380752e-10	2.183527264e-11	-2.183527264e-11
214.577	16.991	-13.097	7.93324832e-11	1.731176512e-11	-1.731176512e-11
242.362	14.279	-10.794	8.96029952e-11	2.016431712e-11	-2.016431712e-11
268.612	8.087	-11.971	1.124978208e-10	2.51954144e-11	-2.51954144e-11
289.260	10.005	-12.561	1.01978504e-10	2.283946736e-11	-2.283946736e-11
307.860	11.464	-8.595	1.259309984e-10	2.68875152e-11	-2.68875152e-11
333.321	8.568	-13.997	1.016910224e-10	2.284799392e-11	-2.284799392e-11
358.292	13.685	-16.402	8.30706272e-11	1.78139048e-11	-1.78139048e-11
387.440	14.625	-15.463	7.53231968e-11	1.703268496e-11	-1.703268496e-11
417.750	16.911	-15.685	6.88615952e-11	1.564713184e-11	-1.564713184e-11
452.010	15.245	-17.35	6.90221536e-11	1.558274656e-11	-1.558274656e-11
486.288	26.099	-19.033	5.48386976e-11	1.186342576e-11	-1.186342576e-11
527.210	15.265	-14.823	7.50592672e-11	1.7222584e-11	-1.7222584e-11
566.068	34.072	-23.593	4.67905744e-11	9.77153712e-12	-9.77153712e-12
648.793	15.260	-14.722	5.41163136e-11	2.070861856e-11	-1.983743744e-11
676.669	13.020	-12.616	5.73390368e-11	2.185277104e-11	-2.083513696e-11
693.907	2.245	-4.219	9.07697024e-11	3.85396464e-11	-3.44841392e-11
700.447	3.741	-4.295	1.04625896e-10	4.27593552e-11	-3.95032544e-11
705.598	2.472	-1.41	1.922460704e-10	6.9663872e-11	-6.96639088e-11
709.708	1.817	-1.638	3.490321024e-10	8.39603408e-11	-8.3960488e-11
714.511	2.614	-2.986	1.159629824e-10	4.72929312e-11	-4.26141056e-11
718.637	1.706	-1.511	2.58201312e-10	7.31632576e-11	-7.31633312e-11
728.523	6.892	-8.181	6.68855456e-11	2.648463616e-11	-2.475162848e-11
737.919	2.716	-2.504	1.182661104e-10	4.73296208e-11	-4.73296576e-11
751.003	7.640	-10.368	6.11758416e-11	2.406650816e-11	-2.261587424e-11
763.826	4.750	-5.183	8.1277584e-11	3.244389568e-11	-2.980970752e-11
772.908	2.639	-4.332	9.11513184e-11	3.84064672e-11	-3.465306224e-11
