duration	time_plus	time_minus	flux	flux_plus	flux_minus
269.037	36.662	-38.557	2.54922407e-11	5.5955709e-12	-5.5955709e-12
342.897	30.499	-37.199	2.87381876e-11	6.2858834e-12	-6.2858834e-12
404.760	36.333	-31.364	2.78972448e-11	6.2610721e-12	-6.2610721e-12
470.585	25.669	-29.492	3.52521902e-11	7.9117685e-12	-7.9117685e-12
572.111	44.494	-75.857	1.55645952e-11	3.5018431e-12	-3.5018431e-12
653.059	36.258	-36.454	2.62572033e-11	5.871287e-12	-5.871287e-12
736.846	55.271	-47.529	1.26571846e-11	2.84441368e-12	-2.84441368e-12
824.522	37.799	-32.406	1.51156324e-11	3.39270769e-12	-3.39270769e-12
898.225	29.286	-35.904	1.71419293e-11	3.7541109e-12	-3.7541109e-12
966.470	38.768	-38.959	1.37557015e-11	3.07586847e-12	-3.07586847e-12
1055.369	50.161	-50.131	1.06351177e-11	2.39307221e-12	-2.39307221e-12
1184.038	69.423	-78.508	7.1017517e-12	1.61223066e-12	-1.61223066e-12
1310.556	38.183	-57.094	1.1080156e-11	2.49321323e-12	-2.49321323e-12
1406.667	49.886	-57.928	1.02399417e-11	2.24525298e-12	-2.24525298e-12
1522.261	59.657	-65.708	8.4548441e-12	1.9024754e-12	-1.9024754e-12
1675.495	117.038	-93.576	5.0000715e-12	1.12509634e-12	-1.12509634e-12
1880.130	102.954	-87.597	7.1956295e-12	1.41938449e-12	-1.41938449e-12
6136.643	157.218	-101.035	3.21595761e-12	8.3804102e-13	-8.3804102e-13
6653.970	326.893	-360.108	1.20500339e-12	3.14981545e-13	-3.14981545e-13
7420.570	538.138	-439.707	9.4073414e-13	2.35660444e-13	-2.35660444e-13
13028.045	943.051	-1160.573	5.5791632e-13	1.25687635e-13	-1.25687635e-13
21923.353	3844.106	-4281.272	2.79890358e-13	6.1345105e-14	-6.1345105e-14
38574.148	10298.806	-9303.882	1.03492261e-13	2.82674685e-14	-2.82674685e-14
75248.894	19417.062	-22896.354	2.53585445e-14	1.3831489e-14	-1.04990715e-14
