duration	time_plus	time_minus	flux	flux_plus	flux_minus
105.511	1.880	-1.938	3.58392804e-10	6.78661992e-11	-6.78661992e-11
108.828	1.335	-1.437	7.47080616e-10	1.141058688e-10	-1.141059576e-10
111.917	1.386	-1.754	6.7112376e-10	1.000455432e-10	-1.00045632e-10
114.924	1.727	-1.621	6.2954094e-10	9.38467704e-11	-9.38468148e-11
118.636	2.044	-1.984	5.23355232e-10	7.80174156e-11	-7.80175044e-11
122.552	1.528	-1.872	6.20026908e-10	9.24284124e-11	-9.24285012e-11
126.269	1.862	-2.19	5.11345476e-10	7.810071e-11	-7.81007544e-11
130.000	2.136	-1.869	4.094241216e-10	6.92054808e-11	-6.92055252e-11
134.416	1.747	-2.281	5.23380096e-10	7.80211452e-11	-7.8021234e-11
137.779	1.804	-1.616	4.276880616e-10	7.8236574e-11	-7.82366184e-11
141.402	1.620	-1.82	4.222884444e-10	7.5845412e-11	-7.58454564e-11
145.082	1.551	-2.061	3.891354972e-10	7.10462604e-11	-7.10463048e-11
148.220	1.975	-1.587	3.945761844e-10	7.20395772e-11	-7.20396216e-11
153.117	3.620	-2.921	2.148323304e-10	3.922292448e-11	-3.922294668e-11
158.658	1.391	-1.921	4.131394692e-10	7.82331552e-11	-7.82331996e-11
161.755	1.526	-1.705	4.349451528e-10	7.94099328e-11	-7.94099772e-11
165.051	2.048	-1.77	3.584645544e-10	6.78797856e-11	-6.78797856e-11
168.702	1.772	-1.603	4.1629107e-10	7.60041864e-11	-7.60041864e-11
172.334	1.706	-1.861	3.835930896e-10	7.2638178e-11	-7.26382224e-11
175.549	1.811	-1.509	4.231996656e-10	7.72655016e-11	-7.7265546e-11
179.119	2.611	-1.759	3.1317096e-10	5.930286e-11	-5.93029044e-11
183.353	2.104	-1.623	3.769701636e-10	6.88251504e-11	-6.88251948e-11
187.232	1.755	-1.775	3.997037628e-10	7.29757512e-11	-7.29757512e-11
193.162	3.961	-4.175	1.76979288e-10	3.231191352e-11	-3.231193128e-11
199.813	2.718	-2.69	2.662103676e-10	4.86032592e-11	-4.86032592e-11
233.810	7.947	-7.097	1.21140738e-10	2.7147825e-11	-2.7147825e-11
254.925	19.427	-13.168	6.04556616e-11	1.321102908e-11	-1.321102908e-11
334.310	40.334	-59.958	1.464375936e-11	3.28177716e-12	-3.28177716e-12
501.469	306.939	-126.825	3.214023204e-12	6.59833728e-13	-6.59833728e-13
10858.951	7308.068	-6574.543	1.655461992e-13	3.896249628e-14	-3.896249628e-14
75614.940	190792.968	-54061.94	1.361154372e-14	4.71961344e-15	-4.71961344e-15
