duration	time_plus	time_minus	flux	flux_plus	flux_minus
50.2962104455015	3.43357755985054	-3.53256546898856	2.39128459048824e-10	4.6020293400913e-11	-4.6020293400913e-11
82.251	6.792	-5.745	2.94424207e-10	6.32427754e-11	-6.32427754e-11
97.448	9.146	-8.405	2.202739574e-10	4.5984932e-11	-4.5984932e-11
112.360	6.772	-5.765	3.133119374e-10	6.54856636e-11	-6.54856636e-11
127.721	6.454	-8.59	2.673919108e-10	5.47682436e-11	-5.47682436e-11
140.135	6.577	-5.96	2.662360974e-10	5.98593548e-11	-5.98593548e-11
161.083	8.195	-14.371	1.561854952e-10	3.43056637e-11	-3.43056637e-11
177.429	9.400	-8.151	2.248619352e-10	4.705466934e-11	-4.705466934e-11
192.430	6.936	-5.601	2.703796312e-10	6.07909778e-11	-6.07909778e-11
223.055	23.949	-23.69	3.898644638e-11	8.77861852e-12	-8.77861852e-12
279.583	42.640	-32.579	1.56218181e-11	3.50312263e-12	-3.50312263e-12
371.923	78.174	-49.699	9.1049378e-12	2.053471658e-12	-2.053471658e-12
507.928	62.520	-57.831	9.6777422e-12	2.179528512e-12	-2.179528512e-12
638.249	112.726	-67.801	6.71979644e-12	1.4824642e-12	-1.4824642e-12
1801.423	4918.933	-1050.448	6.3200921e-13	1.258921818e-13	-1.258921818e-13
