duration	time_plus	time_minus	flux	flux_plus	flux_minus
84.4503414122724	1.07033855523397	-0.966772403071431	1.18341854191655e-09	1.78923306028497e-10	-1.77686263708714e-10
86.3079535092458	0.762280508229324	-0.787273541739381	1.33621285300878e-09	1.99192847755446e-10	-1.99194582177886e-10
87.7333237578405	0.728168260962136	-0.663089740365365	1.48061467106352e-09	2.20717164434738e-10	-2.20717262914923e-10
89.4512171987176	0.716447763200335	-0.98972517991497	1.20587927167765e-09	1.79762005723862e-10	-1.79762024581675e-10
91.6376195305177	1.48962345186976	-1.46995456859983	8.18225295380376e-10	1.1239200285298e-10	-1.12391990116805e-10
100.974	0.690	-0.692	1.528927248e-09	2.279193354e-10	-2.279192462e-10
102.554	1.150	-0.89	1.020099228e-09	1.551862798e-10	-1.551862352e-10
104.767	1.212	-1.062	9.15544786e-10	1.392805818e-10	-1.392805372e-10
107.230	0.935	-1.252	9.66619368e-10	1.440953302e-10	-1.440952856e-10
109.097	1.160	-0.932	9.94946166e-10	1.513597336e-10	-1.51359689e-10
111.257	1.043	-1	9.73909238e-10	1.576417774e-10	-1.576417774e-10
113.625	1.582	-1.325	7.1766975e-10	1.091780794e-10	-1.091780794e-10
116.190	0.811	-0.983	1.163354428e-09	1.7697949e-10	-1.769794454e-10
118.086	1.031	-1.086	9.85425404e-10	1.499113486e-10	-1.499113486e-10
120.306	0.821	-1.189	1.053665188e-09	1.570712988e-10	-1.570712542e-10
122.366	1.584	-1.238	7.1729065e-10	1.137055592e-10	-1.137055592e-10
125.151	1.056	-1.202	9.24922382e-10	1.407071574e-10	-1.407071128e-10
127.320	1.026	-1.112	9.46567654e-10	1.50050679e-10	-1.500506344e-10
129.234	1.094	-0.888	1.069748394e-09	1.594688164e-10	-1.594688164e-10
131.356	0.760	-1.028	1.185781092e-09	1.767659898e-10	-1.767659452e-10
132.983	0.958	-0.868	1.14512284e-09	1.742058606e-10	-1.742058606e-10
135.064	1.036	-1.123	9.82623632e-10	1.464810288e-10	-1.464810288e-10
137.346	1.035	-1.246	9.3049872e-10	1.387107276e-10	-1.38710683e-10
139.317	0.906	-0.936	1.13516366e-09	1.726907986e-10	-1.726907986e-10
141.155	1.228	-0.932	9.82623632e-10	1.464810288e-10	-1.464810288e-10
143.360	1.122	-0.977	1.010855878e-09	1.506896186e-10	-1.506896186e-10
145.805	1.094	-1.322	8.78321626e-10	1.309326214e-10	-1.309325768e-10
148.322	1.428	-1.424	7.32856942e-10	1.114884932e-10	-1.114884486e-10
150.885	1.181	-1.135	9.02272272e-10	1.37261406e-10	-1.372613614e-10
153.456	1.203	-1.389	8.29233974e-10	1.236150548e-10	-1.236150102e-10
155.556	1.067	-0.897	1.10774358e-09	1.651327934e-10	-1.651327934e-10
157.726	1.041	-1.103	9.99584566e-10	1.520653502e-10	-1.520653056e-10
160.768	1.307	-2.002	6.2773385e-10	9.95089332e-11	-9.95089332e-11
163.124	1.169	-1.048	9.8143861e-10	1.463043682e-10	-1.463043236e-10
165.606	0.902	-1.313	9.66595284e-10	1.470467352e-10	-1.470466906e-10
168.335	1.439	-1.827	6.6549221e-10	9.92058316e-11	-9.92058316e-11
170.876	1.465	-1.102	8.46738582e-10	1.26224467e-10	-1.262244224e-10
174.060	1.681	-1.719	6.29685546e-10	9.57931734e-11	-9.57931734e-11
177.039	1.718	-1.298	7.2061781e-10	1.074234708e-10	-1.074234262e-10
179.962	1.024	-1.205	9.45407608e-10	1.46800008e-10	-1.467999634e-10
182.500	1.644	-1.514	6.8814009e-10	1.025819624e-10	-1.025819624e-10
185.548	1.395	-1.404	7.30886514e-10	1.15860765e-10	-1.15860765e-10
188.414	1.873	-1.472	4.034153848e-10	7.83221046e-11	-7.83221046e-11
191.711	1.540	-1.424	7.15237712e-10	1.06621429e-10	-1.06621429e-10
194.905	2.169	-1.654	5.37740416e-10	8.34986482e-11	-8.34986482e-11
199.086	1.879	-2.011	5.4483806e-10	8.1219722e-11	-8.1219722e-11
202.919	1.767	-1.953	5.69850632e-10	8.49483712e-11	-8.49483712e-11
206.555	1.574	-1.869	4.057796308e-10	7.6380845e-11	-7.6380845e-11
209.617	2.312	-1.488	4.317077516e-10	7.4037338e-11	-7.4037338e-11
213.818	2.410	-1.89	5.04950942e-10	7.52737392e-11	-7.52737392e-11
217.772	1.823	-1.543	4.38079932e-10	7.8681536e-11	-7.8681536e-11
221.655	1.747	-2.06	3.54139164e-10	6.87552708e-11	-6.87552262e-11
224.948	2.155	-1.546	3.729886404e-10	7.02085172e-11	-7.02085172e-11
229.633	2.355	-2.531	2.87694753e-10	5.41534538e-11	-5.41534538e-11
234.872	2.470	-2.884	2.520246542e-10	5.04903666e-11	-5.04903666e-11
238.990	1.829	-1.649	4.067519554e-10	7.65638834e-11	-7.65638388e-11
243.349	2.582	-2.53	2.575659812e-10	5.32717564e-11	-5.32717118e-11
249.414	2.400	-3.483	2.460386652e-10	4.49203172e-11	-4.49203172e-11
254.503	3.011	-2.688	2.54024875e-10	4.6378425e-11	-4.6378425e-11
260.977	3.471	-3.464	2.087375444e-10	3.811011574e-11	-3.811011128e-11
272.003	5.280	-4.75	1.66637642e-10	3.738622206e-11	-3.738622206e-11
286.771	8.062	-9.489	9.76937578e-11	2.191821508e-11	-2.191821508e-11
304.943	9.949	-10.11	8.47532908e-11	1.901493794e-11	-1.901493794e-11
329.243	15.736	-14.352	6.43378192e-11	1.38429926e-11	-1.38429926e-11
358.687	13.873	-13.708	6.2917666e-11	1.411597582e-11	-1.411597582e-11
434.102	161.607	-61.543	9.28228134e-12	1.725731438e-12	-1.725731438e-12
