duration	time_plus	time_minus	flux	flux_plus	flux_minus
74.7852506082262	1.66828842242866	-1.60531260669654	4.09726355797984e-10	7.48076481239066e-11	-7.48089055524211e-11
78.5660340115253	2.70982802661024	-2.11249498087037	3.03339057282318e-10	5.28047918799249e-11	-5.2804923720682e-11
93.431	3.309	-2.824	1.926441993e-10	4.287163034e-11	-4.287166051e-11
99.771	2.468	-3.031	2.418444871e-10	4.58828377e-11	-4.58828808e-11
105.767	2.003	-3.528	2.472667688e-10	4.51447502e-11	-4.51447933e-11
110.384	2.034	-2.614	2.880288955e-10	5.46449815e-11	-5.46450677e-11
116.161	2.905	-3.743	1.880481446e-10	4.017133776e-11	-4.017138086e-11
123.176	2.857	-4.11	1.874473306e-10	3.697452456e-11	-3.697457197e-11
128.199	3.033	-2.166	2.6322032e-10	4.80574913e-11	-4.80575344e-11
133.628	3.914	-2.397	2.10960708e-10	4.002357372e-11	-4.002362975e-11
141.062	4.187	-3.52	1.727239827e-10	3.276928342e-11	-3.276933083e-11
148.207	2.983	-2.958	2.240467731e-10	4.250626302e-11	-4.250632336e-11
166.552	12.289	-10.277	1.517755725e-10	3.327155358e-11	-3.327155358e-11
191.220	15.201	-12.379	1.190884032e-10	2.679971361e-11	-2.679971361e-11
216.725	9.755	-10.303	1.821139642e-10	3.899622057e-11	-3.899622057e-11
236.078	10.461	-9.597	1.648815929e-10	3.692746798e-11	-3.692746798e-11
259.841	11.771	-13.302	1.294154649e-10	2.921736932e-11	-2.921736932e-11
290.568	13.640	-18.955	1.137661997e-10	2.382087435e-11	-2.382087435e-11
316.678	10.095	-12.471	1.591311047e-10	3.402540275e-11	-3.402540275e-11
344.477	14.892	-17.703	9.98699408e-11	2.265632528e-11	-2.265632528e-11
377.198	14.767	-17.829	1.057856744e-10	2.315457852e-11	-2.315457852e-11
405.691	11.347	-13.727	1.312077353e-10	2.952705575e-11	-2.952705575e-11
437.878	16.770	-20.84	9.18940272e-11	2.008338889e-11	-2.008338889e-11
467.103	15.126	-12.455	1.179822848e-10	2.655079387e-11	-2.655079387e-11
498.762	18.569	-16.534	1.035230106e-10	2.219975405e-11	-2.219975405e-11
531.044	13.867	-13.713	1.317963089e-10	2.834531409e-11	-2.834531409e-11
562.970	12.030	-18.059	1.210801835e-10	2.588935541e-11	-2.588935541e-11
601.620	23.527	-26.62	6.5771031e-11	1.477745995e-11	-1.477745995e-11
651.389	16.382	-26.243	7.69998309e-11	1.732807916e-11	-1.732807916e-11
700.564	24.876	-32.793	6.0250352e-11	1.326845568e-11	-1.326845568e-11
742.546	23.003	-17.107	9.47169479e-11	1.988756404e-11	-1.988756404e-11
4084.519	32.617	-20.037	1.844558458e-11	4.134037354e-12	-4.134037354e-12
4142.428	29.869	-25.292	1.749993179e-11	3.935663139e-12	-3.935663139e-12
4207.847	32.149	-35.549	1.444743894e-11	3.256678669e-12	-3.256678669e-12
4269.794	27.869	-29.799	1.695912592e-11	3.809646066e-12	-3.809646066e-12
4342.299	38.106	-44.636	1.238718998e-11	2.717943754e-12	-2.717943754e-12
4416.312	49.342	-35.907	1.204290718e-11	2.642402815e-12	-2.642402815e-12
4520.149	38.276	-54.495	1.152479346e-11	2.464801076e-12	-2.464801076e-12
4613.625	40.078	-55.2	1.00907875e-11	2.274621464e-12	-2.274621464e-12
4713.047	40.949	-59.343	9.71743375e-12	2.182893889e-12	-2.182893889e-12
4805.295	56.517	-51.298	8.974282e-12	2.025283654e-12	-2.025283654e-12
4929.468	75.261	-67.656	9.33005095e-12	2.10542207e-12	-2.10542207e-12
5057.412	40.088	-52.683	1.778162908e-11	4.012224686e-12	-4.012224686e-12
5155.485	79.918	-57.984	6.96788649e-12	1.570670457e-12	-1.570670457e-12
5284.116	39.044	-48.713	1.201785315e-11	2.589197589e-12	-2.589197589e-12
5373.607	52.353	-50.448	9.85170318e-12	2.173547223e-12	-2.173547223e-12
5463.391	37.789	-37.431	1.283461108e-11	2.879810545e-12	-2.879810545e-12
5549.373	44.577	-48.194	1.033634975e-11	2.335372207e-12	-2.335372207e-12
5638.054	21.087	-44.104	1.493814106e-11	3.347946367e-12	-3.347946367e-12
5736.359	65.699	-77.218	6.72769881e-12	1.516528237e-12	-1.516528237e-12
5838.088	59.249	-36.029	1.010951876e-11	2.273588788e-12	-2.273588788e-12
5950.605	36.996	-53.268	1.122237369e-11	2.459664418e-12	-2.459664418e-12
6051.319	51.619	-63.718	8.33880698e-12	1.88405185e-12	-1.88405185e-12
6165.498	37.733	-62.56	1.015490306e-11	2.225702102e-12	-2.225702102e-12
6257.709	43.308	-54.478	9.91655575e-12	2.237932589e-12	-2.237932589e-12
6404.952	106.665	-103.936	5.91967294e-12	1.176504579e-12	-1.176504579e-12
9921.974	143.907	-129.389	5.60393096e-12	1.083218939e-12	-1.083218939e-12
10518.255	74.953	-70.471	6.72732384e-12	1.527298496e-12	-1.527298496e-12
