duration	time_plus	time_minus	flux	flux_plus	flux_minus
56.7391287844272	1.61727517924164	-1.35204878746746	8.06640089075414e-10	1.22030202043632e-10	-1.23020196945294e-10
60.2930858736027	2.28429913473239	-1.9366819099339	1.33371634116046e-09	2.05412562651835e-10	-1.97477610604335e-10
71.712	1.667	-2.27	1.448622428e-09	2.287972043e-10	-2.245263159e-10
76.223	2.812	-2.844	9.93267834e-10	1.593108587e-10	-1.57419053e-10
81.244	2.338	-2.21	9.90371832e-10	1.977488543e-10	-1.699665049e-10
86.363	2.147	-2.781	8.15050766e-10	1.850208748e-10	-1.691544073e-10
91.313	2.357	-2.803	7.09999469e-10	1.542624938e-10	-1.508118166e-10
95.836	2.127	-2.166	8.31335591e-10	1.663875314e-10	-1.643671989e-10
100.330	1.970	-2.367	7.82821795e-10	1.542163477e-10	-1.542193442e-10
104.634	2.155	-2.334	6.88162821e-10	1.373815497e-10	-1.380684858e-10
108.841	2.031	-2.052	8.04131059e-10	1.490212926e-10	-1.514428795e-10
113.143	2.522	-2.271	7.28362021e-10	1.403916031e-10	-1.402438065e-10
117.956	2.084	-2.29	8.0725249e-10	1.636000488e-10	-1.615980641e-10
122.844	3.717	-2.804	5.57900356e-10	1.154925782e-10	-1.135764317e-10
128.848	2.776	-2.287	7.06984529e-10	1.520872653e-10	-1.494872714e-10
134.289	2.682	-2.666	7.29274801e-10	1.615627054e-10	-1.528124644e-10
139.731	2.909	-2.759	7.29903605e-10	1.60407255e-10	-1.451078636e-10
146.034	3.125	-3.394	6.86925497e-10	1.543622081e-10	-1.318064001e-10
162.819	6.100	-6.437	4.571319795e-10	9.16342147e-11	-9.16342147e-11
175.404	6.052	-6.485	3.690576068e-10	8.27583973e-11	-8.27583973e-11
190.415	8.592	-8.959	2.771987468e-10	6.07356897e-11	-6.07356897e-11
208.363	8.195	-9.356	2.634531559e-10	5.92457838e-11	-5.92457838e-11
233.390	25.792	-16.832	1.08048719e-10	2.440252329e-11	-2.440252329e-11
348.763	256.427	-89.581	1.162050076e-11	2.242974294e-12	-2.242974294e-12
14009.382	85130.552	-8852.17	3.135773171e-14	1.492140828e-14	-1.17521808e-14
